codigo,materia,correlativas
04052,"ANALISIS MATEMATICO I",
04053,"INFRAESTRUCTURA TECNOLOGICA",
04054,"ALGEBRA Y GEOMETRIA ANALITICA I",
04055,"FISICA I",
04056,"SISTEMA DE REPRESENTACION",
04057,"INTRODUCCION AL EJERCICIO PROFESIONAL",
04059,"ANALISIS MATEMATICO II","04052"
04058,"ELEMENTOS DE ECONOMIA","04052"
04060,"FISICA II","04055"
04061,"FUNDAMENTOS DE QUIMICA",
04062,"ALGEBRA Y GEOMETRIA ANALITICA II","04054"
04063,"ORGANIZACION INDUSTRIAL","04057"
00901,"INGLES NIVEL I",
04064,"COSTOS INDUSTRIALES","04063 - 04058"
04065,"ANALISIS MATEMATICO III","04059"
04066,"ETICA PROFESIONAL Y LEGISLACION","04057"
04067,"ELEMENTOS DE PROGRAMACION","04053"
04068,"FISICA III","04060"
04069,"MATERIALES INDUSTRIALES","04061 - 04059 - 04060"
04105,"PRACTICA PROFESIONAL SUPERVISADA","04082"
00902,"INGLES NIVEL II","00901"
04070,"TECNOLOGIA DE MATERIALES Y PROCESOS I","04069"
04071,"HIGIENE, SEGURIDAD E INGENIERIA AMBIENTAL","04066 - 04063"
04072,"PROBABILIDAD Y ESTADISTICA","04065 - 04062"
04073,"QUIMICA INDUSTRIAL","04061"
04074,"GESTION DE OPERACIONES I","04064"
04075,"ELECTROTECNIA Y MAQUINAS ELECTRICAS","04068 - 04056"
00903,"INGLES NIVEL III","00902"
00911,"COMPUTACION NIVEL I",
04076,"TERMODINAMICA","04073 - 04065 - 04060"
04077,"ORGANIZACION INDUSTRIAL II","04074 - 04063"
04078,"TECNOLOGIA DE MATERIALES Y PROCESOS II","04070"
04079,"GESTION DE LA INNOVACION Y EMPRENDEDORISMO","04074 - 04069"
04080,"ESTADISTICA APLICADA","04072"
04081,"GESTION DE OPERACIONES II","04074"
00904,"INGLES NIVEL IV","00903"
00912,"COMPUTACION NIVEL II","00911"
04082,"ESPACIO DE INTEGRACION TECNOLOGICA","04081 - 04075 - 04071 - 04070 - 04056"
04083,"MAQUINAS TERMICAS","04076 - 04060"
04084,"GESTION DE LA CALIDAD","04081 - 04080"
04085,"MECANICA DE LOS FLUIDOS","04076"
04086,"INVESTIGACION OPERATIVA","04080 - 04074"
04087,"PROCESOS INDUSTRIALES I","04082 - 04076 - 04073"
04088,"GESTION COMERCIAL","04077 - 04058"
04089,"GESTION LOGISTICA","04086 - 04081"
04090,"FINANZAS DE LA EMPRESA","04081 - 04077 - 04064 - 04058"
04091,"SISTEMAS INFORMATICOS DE GESTION","04077 - 04067"
04092,"GESTION Y EVALUACION DE PROYECTOS","04090 - 04086 - 04082"
04093,"ELEMENTOS DE MAQUINAS Y MECANISMOS","04083 - 04078 - 04056"
04094,"ECOLOGIA INDUSTRIAL Y DESARROLLO SUSTENTABLE","04087 - 04066"
04095,"PROCESOS INDUSTRIALES II","04087"
04096,"INDUSTRIAS DE SERVICIOS","04084 - 04091"
04097,"RESPONSABILIDAD SOCIAL UNIVERSITARIA","04082"
04099,"AUTOMATIZACION INDUSTRIAL","04093 - 04075 - 04067"
04100,"ELECTIVA I",
04101,"INSTALACIONES INDUSTRIALES","04099 - 04085 - 04083"
04102,"ELECTIVA II",
04103,"ELECTIVA III",
04104,"GESTION INDUSTRIAL","04095 - 04094 - 04092 - 04089 - 04088"
04098,"PROYECTO FINAL INTEGRADOR","04095 - 04092 - 04088 - 04082 - 04081"
